,,Demand,,,Production,,,Inventory,,,Capacity,,,,Unmet demand,,,
DC,Period,Product 1,Product 2,Product 3,Product 1,Product 2,Product 3,Product 1,Product 2,Product 3,Blend (RT),Blend (OT), Pack(RT), Pack(OT),Product 1,Product 2,Product 3
1,1,40539.0,20854.0,9502.0,40281.0,20263.0,8376.0,2110.0,1243.0,814.0,312695.0,0.0,137840.0,0.0,0.0,0.0,0.0,
1,2,40997.0,21562.0,8975.0,40997.0,21562.0,11667.5,2110.0,1243.0,814.0,341803.0,0.0,148453.0,0.0,0.0,0.0,0.0,
1,3,39855.0,21925.0,9347.0,39855.0,21925.0,9347.0,2110.0,1243.0,814.0,325127.0,0.0,142254.0,0.0,0.0,0.0,0.0,
1,4,38574.0,22315.0,9958.0,0.0,0.0,0.0,2110.0,1243.0,814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,1,55948.0,38245.0,16888.0,55855.0,38233.0,17302.5,1650.0,1488.0,3324.5,432000.0,86400.0,222781.0,0.0,0.0,0.0,0.0,
2,2,55804.0,39364.0,16617.0,55804.0,39364.0,16394.0,1650.0,1488.0,3046.0,432000.0,86400.0,223124.0,0.0,0.0,0.0,4929.5999999999985,
2,3,55292.0,39409.0,14462.0,55292.0,39409.0,14462.0,1650.0,1488.0,3046.0,432000.0,72985.0,218326.0,0.0,0.0,0.0,0.0,
2,4,53866.0,39380.0,13666.0,0.0,0.0,0.0,1650.0,1488.0,3046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,1,49559.0,27461.0,6738.0,49424.0,27396.0,8673.4,4172.0,1734.0,3014.0,386716.4,0.0,170986.8,0.0,0.0,0.0,0.0,
3,2,50155.0,27718.0,10495.0,50155.0,27718.0,10495.0,4172.0,1734.0,3014.0,402180.0,0.0,176736.0,0.0,0.0,0.0,0.0,
3,3,48959.0,26460.0,11565.0,48959.0,26460.0,11565.0,4172.0,1734.0,3014.0,397526.0,0.0,173968.0,0.0,0.0,0.0,0.0,
3,4,46259.0,27059.0,13377.0,0.0,0.0,0.0,4172.0,1734.0,3014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
